player,season,top10_home_games_played,top10_home_points_avg,top10_home_rebounds_avg,top10_home_assists_avg,top10_home_steals_avg,top10_home_blocks_avg,top10_home_turnovers_avg,top10_away_games_played,top10_away_points_avg,top10_away_rebounds_avg,top10_away_assists_avg,top10_away_steals_avg,top10_away_blocks_avg,top10_away_turnovers_avg,mid_home_games_played,mid_home_points_avg,mid_home_rebounds_avg,mid_home_assists_avg,mid_home_steals_avg,mid_home_blocks_avg,mid_home_turnovers_avg,mid_away_games_played,mid_away_points_avg,mid_away_rebounds_avg,mid_away_assists_avg,mid_away_steals_avg,mid_away_blocks_avg,mid_away_turnovers_avg,bottom10_home_games_played,bottom10_home_points_avg,bottom10_home_rebounds_avg,bottom10_home_assists_avg,bottom10_home_steals_avg,bottom10_home_blocks_avg,bottom10_home_turnovers_avg,bottom10_away_games_played,bottom10_away_points_avg,bottom10_away_rebounds_avg,bottom10_away_assists_avg,bottom10_away_steals_avg,bottom10_away_blocks_avg,bottom10_away_turnovers_avg
Jock Landale,2023-24,10.0,4.3,2.6,0.8,0.2,0.3,0.0,10.0,3.1,1.6,0.3,0.4,0.6,0.0,8.0,6.5,4.0,2.12,0.62,0.75,0.0,7.0,5.71,4.0,2.0,0.43,0.29,0.0,9.0,5.0,4.0,0.56,0.11,0.22,0.0,12.0,5.25,2.83,1.5,0.42,1.17,0.0
A.J. Lawson,2023-24,7.0,1.71,0.57,0.14,0.0,0.0,0.0,6.0,3.17,1.17,0.5,0.0,0.17,0.0,4.0,1.0,0.25,0.25,0.0,0.0,0.0,5.0,2.6,0.6,0.2,0.2,0.0,0.0,12.0,5.17,2.08,0.92,0.42,0.17,0.0,8.0,3.25,1.25,0.38,0.5,0.0,0.0
Caris LeVert,2023-24,10.0,12.3,3.4,5.3,1.4,0.4,0.0,11.0,14.64,4.0,4.0,1.73,0.82,0.0,12.0,12.75,4.5,4.75,0.67,0.33,0.0,11.0,18.0,4.73,6.27,0.45,0.73,0.0,13.0,13.0,2.85,4.92,1.38,0.46,0.0,11.0,13.45,5.36,5.36,1.09,0.27,0.0
Alex Len,2023-24,6.0,5.17,2.17,1.17,0.17,0.83,0.0,9.0,1.78,2.78,0.56,0.22,0.44,0.0,7.0,2.29,3.14,1.14,0.14,1.29,0.0,5.0,3.6,3.8,2.2,0.2,0.8,0.0,10.0,3.1,2.4,1.2,0.4,0.7,0.0,11.0,0.73,2.27,0.64,0.18,0.36,0.0
Kawhi Leonard,2023-24,9.0,19.67,5.67,3.44,1.22,0.78,0.0,13.0,24.77,7.0,3.23,2.31,0.92,0.0,9.0,22.78,5.67,3.56,1.22,1.11,0.0,10.0,26.7,5.9,3.4,1.0,0.9,0.0,13.0,22.69,6.15,4.69,1.92,0.69,0.0,14.0,24.79,6.0,3.14,1.71,0.86,0.0
Maxwell Lewis,2023-24,5.0,0.4,0.0,0.2,0.0,0.0,0.0,4.0,0.0,0.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.67,0.0,0.0,0.0,7.0,0.86,0.14,0.0,0.0,0.0,0.0,7.0,0.43,0.14,0.14,0.0,0.0,0.0,8.0,0.0,0.12,0.25,0.25,0.12,0.0
E.J. Liddell,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.75,0.25,0.0,0.25,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,2023-24,10.0,22.5,3.9,5.0,0.8,0.2,0.0,11.0,23.45,3.82,6.55,1.09,0.55,0.0,18.0,23.94,4.78,6.94,0.78,0.33,0.0,13.0,22.69,4.31,7.15,1.08,0.23,0.0,11.0,30.27,4.55,7.91,1.55,0.09,0.0,10.0,23.3,4.7,8.1,0.7,0.0,0.0
Dereck Lively II,2023-24,10.0,7.9,5.3,0.6,0.3,1.5,0.0,10.0,8.2,7.9,1.0,0.5,0.8,0.0,7.0,9.57,8.71,1.29,0.71,0.86,0.0,7.0,10.0,6.57,1.57,1.57,2.14,0.0,9.0,8.0,6.44,1.11,0.67,2.56,0.0,12.0,9.42,6.75,1.17,0.5,0.83,0.0
Chris Livingston,2023-24,5.0,1.6,1.0,0.2,0.2,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.25,1.0,0.25,0.25,0.0,0.0,4.0,1.25,0.25,0.5,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.5,0.0,0.0,0.0
